TRTID10,state,county,tract,placefp10,cbsa10,metdiv10,ccflag10,POP00SF3,RUANC00,ITANC00,GEANC00,IRANC00,SCANC00,RUFB00,ITFB00,GEFB00,IRFB00,SCFB00,FB00,NAT00,N10IMM00,AG5UP00,OLANG00,LEP00,AG25UP00,HS00,COL00,AG15UP00,Mar-00,WDS00,CLF00,UNEMP00,DFLABF00,FLABF00,EMPCLF00,PROF00,MANUF00,SEMP00,AG18CV00,VET00,CNI16U00,DIS00,DPOV00,NPOV00,N65POV00,DFMPOV00,NFMPOV00,DWPOV00,NWPOV00,DBPOV00,NBPOV00,DNAPOV00,NNAPOV00,DHPOV00,NHPOV00,DAPOV00,NAPOV00,INCPC00,HU00SP,H30OLD00,OHU00SP,H10YRS00,DMULTI00,MULTI00,HINC00,HINCW00,HINCB00,HINCH00,HINCA00,MHMVAL00,MRENT00,HH00,HHW00,HHB00,HHH00,HHA00
22071000100,LA,Orleans Parish,Census Tract 1,55000,35380,99999,1,2409,23,167,191,157,24,0,9,0,4,0,128,58,49,2232,254,41,1721,595,547,1980,846,464,1419,52,1016,691,1367,532,85,191,1839,273,1694,368,2409,417,14,541,42,1524,90,643,287,17,4,165,13,32,23,24066,1407,1323,1148,979,1407,608,38750,40804,23750,61375,5000,139300,469,1080,822,196,39,4
22071000200,LA,Orleans Parish,Census Tract 2,55000,35380,99999,1,1463,0,17,27,23,0,0,0,0,23,0,31,9,0,1336,46,0,813,530,114,1083,266,378,511,81,573,231,430,120,56,39,982,60,821,336,1463,703,60,321,127,238,35,1189,645,0,0,0,0,0,0,9118,718,638,515,335,718,201,18646,32361,16200, , ,63500,305,525,99,420,0,0
22071000300,LA,Orleans Parish,Census Tract 3,55000,35380,99999,1,1324,0,17,0,0,0,0,0,0,0,0,0,0,0,1259,9,0,846,571,77,1060,277,330,472,79,570,262,393,64,43,12,987,142,863,331,1324,642,87,366,120,78,22,1227,601,0,0,0,0,0,0,12634,693,639,537,302,693,148,13164,20125,13426, , ,49700,286,599,47,538,0,0
22071000400,LA,Orleans Parish,Census Tract 4,55000,35380,99999,1,2632,0,45,8,17,0,0,0,0,0,0,70,45,25,2419,127,25,1435,882,162,1847,608,463,855,126,1014,476,729,227,63,53,1648,159,1518,512,2632,772,36,639,156,248,25,2301,736,0,0,64,17,25,0,11422,1056,917,884,589,1056,247,22028,48036,21821,7159,17500,74200,340,905,141,731,19,14
22071000601,LA,Orleans Parish,Census Tract 6.01,55000,35380,99999,1,1887,0,9,0,0,0,0,0,0,0,0,0,0,0,1649,23,0,671,601,29,1042,180,177,356,88,665,222,268,21,4,13,875,40,916,246,1883,1661,41,390,292,9,9,1860,1638,0,0,0,0,8,8,3280,683,615,487,287,683,597,5818,2499,5833, ,5000,51100,127,481,9,464,0,8
22071000602,LA,Orleans Parish,Census Tract 6.02,55000,35380,99999,1,3036,0,79,18,70,0,0,0,0,0,0,93,37,34,2811,150,0,1840,1219,180,2290,796,540,1093,143,1222,521,950,160,100,45,2148,243,1914,430,3036,1020,81,763,159,437,9,2485,980,0,0,77,13,12,5,9923,1105,814,1019,526,1105,176,23955,35341,22330,17361,32500,61900,357,1008,186,780,29,7
22071000603,LA,Orleans Parish,Census Tract 6.03,55000,35380,99999,1,2546.591861,0,0,0,0,0,0,0,7.945684433,0,0,178.7778931,120.1784744,38.73521042,2274.452148,205.5945892,34.76237106,1174.96814,912.760498,71.5111618,1598.075806,501.5713196,297.9631653,866.0795898,110.2463684,889.916626,501.5713196,755.833252,116.2056351,78.46363068,28.80310631,1442.141724,90.382164,1469.95166,438.0058594,2546.591861,1153.117432,21.85063171,603.8720093,250.2890625,33.76915741,15.89136887,2237.703369,1088.558716,35.7555809,0,175.7982635,26.81668472,54.62657928,7.945684433,7011.99999,994.2037354,630.6887207,688.2949219,547.2590332,994.2037354,635.6547852,17175.99932,38750,16366.00004,38000.0013,63750,36899.9999,313.0000046,723.057312,11.91852665,616.7837524,55.61978912,23.8370533
22071000604,LA,Orleans Parish,Census Tract 6.04,55000,35380,99999,1,4926.408087,8,87,138,118,29,0,0,0.054315403,0,0,358.2220966,96.82152045,121.2647876,4471.547784,470.405411,129.2376299,2821.03189,1573.239482,332.4888386,3683.924186,1540.42866,812.0368276,2335.920379,180.7536262,1999.083325,1253.42866,2155.166753,492.7943628,157.5363646,144.1968933,3336.858246,356.6178377,3053.048349,487.9941366,4926.408087,1334.882523,81.14936736,1235.127971,260.7109352,910.2308405,94.10863081,3555.296576,1148.44121,0.244419307,0,419.2017283,105.1833145,57.37341839,11.0543154,12525.91253,2083.796215,645.311285,1868.705072,1383.740973,2083.796215,1020.345232,27430.46888,30910.50639,25067.71284,35352.56981,63969.15979,64362.83977,430.6127203,1845.942702,424.0814731,1301.216233,87.38020784,25.16294621
22071000605,LA,Orleans Parish,Census Tract 6.05,55000,35380,99999,1,2902,0,35,121,138,11,0,0,0,0,0,82,42,26,2663,171,15,1715,872,302,2155,1136,386,855,66,971,463,789,134,67,46,1562,256,1399,297,2669,583,28,687,84,806,61,1736,517,0,0,59,0,38,0,13696,992,751,893,529,992,211,29760,39485,26929,37969, ,56500,413,897,351,509,21,0
22071000606,LA,Orleans Parish,Census Tract 6.06,55000,35380,99999,1,4400,9,223,379,241,23,0,18,9,0,0,205,175,31,4116,391,24,3080,993,1120,3510,1987,804,2152,55,1851,1081,2097,939,147,249,3274,463,2641,372,4214,164,39,1199,16,2517,83,1405,32,0,0,232,49,4,0,23366,1641,1144,1593,928,1641,12,56760,56000,58487,61094, ,108500,435,1585,1054,409,100,0
