TRTID10,state,county,tract,placefp10,cbsa10,metdiv10,ccflag10,POP00,NHWHT00,NHBLK00,NTV00,ASIAN00,HISP00,HAW00,INDIA00,CHINA00,FILIP00,JAPAN00,KOREA00,VIET00,MEX00,PR00,CUBAN00,HU00,VAC00,OHU00,A18UND00,A60UP00,A75UP00,AGEWHT00,A15WHT00,A60WHT00,AGEBLK00,A15BLK00,A60BLK00,AGEHSP00,A15HSP00,A60HSP00,AGENTV00,A15NTV00,A60NTV00,AGEASN00,A15ASN00,A60ASN00,FAMILY00,FHH00,OWN00,RENT00,GlobD00,GlobG00
22071001500,LA,Orleans Parish,Census Tract 15,55000,35380,99999,1,2026,112,1831,1,12,68,0,0,0,5,0,0,5,4,4,16,863,165,698,700,228,67,112,12,41,1826,609,171,68,8,12,1,0,0,10,0,2,483,189,250,448,b,Minority
22071012101,LA,Orleans Parish,Census Tract 121.01,55000,35380,99999,1,2233,1762,196,11,118,134,0,25,53,7,5,15,2,19,18,14,1053,80,973,386,217,97,1762,243,198,187,48,15,134,27,3,5,0,0,109,17,1,414,43,373,600,wba,Semi global
22071000604,LA,Orleans Parish,Census Tract 6.04,55000,35380,99999,1,5146.900834,875.271577,3764.395536,17.02036828,66.7264685,394.4393582,1,8.101841383,15,6,5,1.006789425,28.64499539,64.06789425,34.0543154,16.0543154,2106.640058,216.0843537,1890.555705,1630.809793,525.8486782,156.2036828,875.271577,124.0339471,220.0814731,3720.280116,1177.506224,244.4616809,394.4393582,105.366629,51.25799817,12.01357885,2.013578851,0,55.71967912,13.19689333,7.040736552,1276.693447,412.0571959,854.1542023,1036.401502,wbh,Semi global
22071002100,LA,Orleans Parish,Census Tract 21,55000,35380,99999,1,1522,20,1471,1,0,26,0,0,0,0,0,0,0,1,8,1,695,111,584,445,251,55,20,1,7,1460,382,238,26,6,2,1,0,1,0,0,0,394,148,250,334,b,Minority
22071008300,LA,Orleans Parish,Census Tract 83,55000,35380,99999,1,1416,699,624,5,20,57,0,2,10,1,8,1,0,10,3,3,727,86,641,321,227,77,699,63,152,618,205,55,57,5,12,0,0,0,16,4,5,294,58,264,377,bw,White Black
22071980000,LA,Orleans Parish,Census Tract 9800,55000,35380,99999,1,0.999999969,0.819054365,0.099182367,0.004265908,0.016352648,0.052612867,0.000355492,0.003554923,0.002132954,0.004265908,0.002488446,0.001777462,0.002132954,0.007465339,0.003554923,0.007109847,0.603270531,0.04692499,0.556345522,0.141130462,0.145396367,0.062566653,0.819054365,0.092072517,0.125488803,0.094205469,0.022040525,0.008887309,0.052612867,0.008887309,0.007465339,0.000710985,0,0,0.014219694,0.001066477,0.001777462,0.206185564,0.028439388,0.233913958,0.322431564,bw,White Black
22071012300,LA,Orleans Parish,Census Tract 123,55000,35380,99999,1,2275,825,1272,5,32,129,0,3,11,6,2,6,3,17,7,20,1052,87,965,517,344,131,825,86,135,1233,305,178,129,25,23,3,1,0,26,4,3,561,136,470,495,bw,White Black
22071001747,LA,Orleans Parish,Census Tract 17.47,55000,35380,99999,1,3524.00008,584.6247559,2616.484619,13.25776768,248.0485535,48.3266983,0,22.66650581,12.40242767,11.97475719,2.993689299,2.566019535,201.4325256,5.559709072,1.283009768,7.698058605,1256.921875,41.91165161,1215.010254,976.3704224,511.4932251,181.3320465,584.6247559,50.03738022,270.7150574,2581.843262,686.8378906,204.8538818,48.3266983,14.96844673,10.26407814,10.69174767,4.276699066,3.421359301,239.922821,68.42718506,14.54077721,939.163147,137.7097168,1076.44519,138.5650482,wba,Semi global
22071003100,LA,Orleans Parish,Census Tract 31,55000,35380,99999,1,1936,30,1848,5,0,27,0,3,0,0,0,0,0,9,0,0,857,93,764,571,355,170,30,3,14,1833,478,321,27,7,2,5,2,0,0,0,0,479,160,338,426,b,Minority
22071001720,LA,Orleans Parish,Census Tract 17.20,55000,35380,99999,1,5092,492,4478,25,17,53,0,5,3,6,1,0,0,4,5,14,1833,134,1699,1662,560,164,492,39,228,4457,1377,309,53,10,13,20,5,0,13,4,1,1339,425,1079,620,b,Minority
22071001740,LA,Orleans Parish,Census Tract 17.40,55000,35380,99999,1,5291,185,4827,4,134,135,0,19,10,11,1,12,77,65,7,1,2115,80,2035,1474,296,63,185,18,36,4791,1215,249,135,25,4,2,0,0,130,34,5,1399,333,1067,968,ba,Minority
22071007502,LA,Orleans Parish,Census Tract 75.02,55000,35380,99999,1,3819,107,3644,2,2,62,0,1,0,0,1,0,0,18,4,13,1555,139,1416,1078,753,233,107,19,40,3613,904,698,62,16,8,1,0,0,2,0,0,990,341,669,747,b,Minority
22071000701,LA,Orleans Parish,Census Tract 7.01,55000,35380,99999,1,3278,23,3220,0,15,20,0,2,12,2,0,0,0,2,0,3,1270,133,1137,952,644,208,23,5,2,3207,832,633,20,8,4,0,0,0,3,1,1,818,258,689,448,b,Minority
22071011600,LA,Orleans Parish,Census Tract 116,55000,35380,99999,1,1529,1409,46,3,27,34,0,4,7,4,5,2,1,8,1,3,753,49,704,271,347,169,1409,239,318,46,4,17,34,3,3,1,0,0,22,2,2,340,7,425,279,w,White
22071009400,LA,Orleans Parish,Census Tract 94,55000,35380,99999,1,2190,28,2141,5,2,12,0,3,0,0,0,0,0,0,0,1,1186,291,895,674,377,124,28,6,1,2130,602,373,12,6,1,5,4,0,2,1,0,483,217,207,688,b,Minority
22071002900,LA,Orleans Parish,Census Tract 29,55000,35380,99999,1,2312.399617,24.01467461,2236.272438,0.003261024,6.006522048,45.09293918,0,4,0,3.001630512,0,0,3,11.0277187,3.006522048,5.003261024,936.6696442,165.2576209,771.4120233,828.948958,312.7043812,109.2608819,24.01467461,6.004891536,7.001630512,2229.256132,696.8005814,297.6831845,45.09293918,21.02282717,6.008152559,0.003261024,0,0.001630512,6.006522048,2,0,535.8511273,219.3081668,255.4434992,515.9685241,b,Minority
22071010100,LA,Orleans Parish,Census Tract 101,55000,35380,99999,1,2429,1235,1034,6,58,83,0,13,7,7,12,15,3,14,11,10,1349,171,1178,396,380,137,1235,105,168,1018,220,200,83,9,8,4,2,0,48,7,0,512,99,437,741,wba,Semi global
22071008500,LA,Orleans Parish,Census Tract 85,55000,35380,99999,1,1778,14,1743,1,4,13,0,0,0,3,0,0,1,6,0,1,816,138,678,558,302,123,14,0,3,1736,486,293,13,3,4,0,0,0,4,0,1,375,167,138,540,b,Minority
22071006900,LA,Orleans Parish,Census Tract 69,55000,35380,99999,1,4339,9,4285,2,3,38,0,1,0,0,0,0,0,12,0,1,1647,226,1421,2100,294,93,9,3,2,4268,1900,283,38,19,6,2,0,1,3,1,0,1139,839,56,1365,b,Minority
22071013200,LA,Orleans Parish,Census Tract 132,55000,35380,99999,1,3232,631,2502,13,23,57,0,1,6,2,6,0,0,2,11,4,1405,129,1276,826,482,140,631,61,113,2485,633,348,57,12,13,6,0,2,16,0,3,787,239,597,679,bw,White Black
22071003900,LA,Orleans Parish,Census Tract 39,55000,35380,99999,1,1444.999997,246.6585999,1152.405029,10.98479652,3.994471312,21.96959305,1.997235656,0,0,0,0.998617828,0,0,6.990324974,0.998617828,0.998617828,883.7767944,227.6848602,656.0919189,346.5203857,206.7138977,55.92259979,246.6585999,5.991706848,30.95715332,1144.416016,290.5977783,165.7705536,21.96959305,1.997235656,4.993089199,8.987560272,0,0.998617828,3.994471312,0,0.998617828,280.6116028,105.8534927,154.7857666,501.3061523,bw,White Black
22071001725,LA,Orleans Parish,Census Tract 17.25,55000,35380,99999,1,7773,1177,6304,9,62,135,0,4,13,10,3,1,22,12,8,26,2981,84,2897,2247,1043,365,1177,79,511,6245,1808,476,135,30,34,8,2,2,46,8,6,2034,522,1669,1228,bw,White Black
22071007000,LA,Orleans Parish,Census Tract 70,55000,35380,99999,1,2172,44,2108,1,2,16,0,0,0,1,0,0,0,9,0,1,571,68,503,254,192,67,44,3,31,2098,212,157,16,5,2,1,0,0,2,0,0,216,72,147,356,b,Minority
22071000617,LA,Orleans Parish,Census Tract 6.17,55000,35380,99999,1,3883.000041,1740.069702,1708.684692,15.94978142,212.4922485,183.1652374,0.514509082,47.84934616,12.34821796,34.98661804,6.174108982,6.688618183,96.2131958,43.73327255,33.44308853,16.46429062,1630.993774,126.5692368,1504.424561,1097.962402,344.7210999,94.6696701,1740.069702,327.7422791,238.7322083,1689.133301,530.4588623,79.748909,183.1652374,50.42189026,8.74665451,4.630581856,0.514509082,0.514509082,196.5424652,50.93639755,15.94978142,1003.292725,172.8750458,759.4154053,745.0091553,wba,Semi global
22071002200,LA,Orleans Parish,Census Tract 22,55000,35380,99999,1,2049,54,1950,5,3,31,0,0,0,0,3,0,0,1,2,6,862,151,711,691,261,67,54,1,27,1936,608,230,31,7,1,5,1,0,3,0,0,492,200,300,411,b,Minority
22071002000,LA,Orleans Parish,Census Tract 20,55000,35380,99999,1,2155,66,2025,7,12,45,0,7,6,4,1,0,0,12,3,1,938,183,755,762,278,79,66,2,36,2015,654,230,45,6,10,7,2,0,8,3,2,528,232,262,493,b,Minority
22071000702,LA,Orleans Parish,Census Tract 7.02,55000,35380,99999,1,2976,428,2437,26,15,62,1,0,0,2,1,0,10,3,7,6,1302,202,1100,923,509,240,428,57,170,2406,723,309,62,9,14,22,5,8,12,5,2,678,244,394,706,bw,White Black
22071004402,LA,Orleans Parish,Census Tract 44.02,55000,35380,99999,1,2504,5,2486,1,0,12,0,1,0,0,0,0,0,8,0,3,930,42,888,1215,202,58,5,5,0,2482,1120,201,12,6,0,1,0,0,0,0,0,677,520,4,884,b,Minority
22071000904,LA,Orleans Parish,Census Tract 9.04,55000,35380,99999,1,2403.905911,22.94184113,2357.024658,0.997471333,0.997471333,16.95701218,0,0,0,0,0,0.997471333,0,0.997471333,0.997471333,0,973.5320435,179.5448456,793.9871826,788.9998169,443.8747559,158.5979462,22.94184113,1.994942665,9.974713326,2345.055176,702.2198486,426.9177246,16.95701218,9.974713326,2.992413998,0.997471333,0.997471333,0,0.997471333,0,0,583.520752,220.4411621,422.9278564,371.0593262,b,Minority
22071007200,LA,Orleans Parish,Census Tract 72,55000,35380,99999,1,2576,92,2401,3,23,47,0,1,0,2,0,0,15,7,5,0,1305,267,1038,708,442,184,92,15,27,2387,604,387,47,4,20,1,0,0,23,2,2,573,228,226,812,b,Minority
22071002504,LA,Orleans Parish,Census Tract 25.04,55000,35380,99999,1,2625,873,1603,20,25,84,0,7,1,4,6,0,7,14,6,29,1169,94,1075,663,423,171,873,103,282,1578,439,106,84,22,22,9,1,1,22,4,4,708,155,781,294,bw,White Black
22071000902,LA,Orleans Parish,Census Tract 9.02,55000,35380,99999,1,2943,7,2924,0,1,8,0,1,0,1,0,0,0,2,0,2,1144,159,985,897,512,188,7,0,0,2911,781,509,8,2,2,0,0,0,1,1,0,706,237,591,394,b,Minority
22071000616,LA,Orleans Parish,Census Tract 6.16,55000,35380,99999,1,4700.000205,2419.63208,1800.613525,39.87730408,187.730072,241.717804,0.613496959,28.22085953,17.79141235,16.56441879,0,2.453987837,120.858902,58.89570618,23.31288528,23.31288528,2034.355957,246.0122833,1788.343628,1286.503174,761.3497314,288.3435669,2419.63208,467.4846802,623.9263916,1778.52771,553.9877319,80.36810303,241.717804,57.05521774,32.5153389,29.44785309,7.361963272,1.226993918,169.3251648,42.3312912,19.63190269,1180.981689,222.6994019,960.1227417,828.2208862,wba,Semi global
22071001750,LA,Orleans Parish,Census Tract 17.50,55000,35380,99999,1,6260.000062,156.0124664,2969.112061,17.41210556,2969.808594,142.7792664,0,18.10858917,9.054294586,4.178905487,3.482420921,1.392968416,2886.927002,13.23320007,9.750779152,2.089452744,1826.878052,71.04138947,1755.83667,2418.193115,567.6346436,138.6003571,156.0124664,20.19804192,55.02225113,2948.217773,1213.971924,147.6546478,142.7792664,59.89764023,7.661326408,2.785936832,0,1.392968416,2938.466797,822.5478516,346.8491211,1490.476196,500.0756531,673.5002441,1082.336426,ba,Minority
22071001302,LA,Orleans Parish,Census Tract 13.02,55000,35380,99999,1,1969,58,1885,3,0,18,0,2,1,1,0,0,0,1,2,0,744,81,663,643,258,65,58,2,37,1878,547,213,18,4,3,3,0,0,0,0,0,511,194,293,370,b,Minority
22071002501,LA,Orleans Parish,Census Tract 25.01,55000,35380,99999,1,2541,713,1624,4,20,158,0,7,8,2,0,0,2,11,7,58,1111,72,1039,632,491,220,713,73,309,1603,450,125,158,24,43,2,0,2,18,1,4,684,142,733,306,bw,White Black
