statea,countya,tracta,pnhwht12,pnhblk12,phisp12,pntv12,pasian12,phaw12,pindia12,pchina12,pfilip12,pjapan12,pkorea12,pviet12,p15wht12,p65wht12,p15blk12,p65blk12,p15hsp12,p65hsp12,p15ntv12,p65ntv12,p15asn12,p65asn12,pmex12,pcuban12,ppr12,pruanc12,pitanc12,pgeanc12,piranc12,pscanc12,pfb12,pnat12,p10imm12,prufb12,pitfb12,pgefb12,pirfb12,pscfb12,polang12,plep12,phs12,pcol12,punemp12,pflabf12,pprof12,pmanuf12,psemp12,pvet12,p65pov12,ppov12,pwpov12,pnapov12,pfmpov12,pbpov12,phpov12,papov12,pvac12,pown12,pmulti12,p30old12,p18und12,p60up12,p75up12,pmar12,pwds12,pfhh12,p10yrs12,ageblk12,agentv12,agewht12,agehsp12,india12,filip12,japan12,korea12,viet12,pop12,nhwht12,nhblk12,ntv12,hisp12,asian12,haw12,china12,a15wht12,a65wht12,a15blk12,a65blk12,a15hsp12,a65hsp12,a15ntv12,a65ntv12,ageasn12,a15asn12,a65asn12,mex12,pr12,cuban12,geanc12,iranc12,itanc12,ruanc12,fb12,nat12,itfb12,rufb12,ag5up12,irfb12,gefb12,scanc12,n10imm12,olang12,lep12,scfb12,ag25up12,dfmpov12,hh12,hinc12,hincb12,hincw12,hinch12,incpc12,ag18cv12,vet12,empclf12,dpov12,npov12,dbpov12,nbpov12,dnapov12,nnapov12,dwpov12,nwpov12,dhpov12,nhpov12,hhb12,hhw12,hhh12,hs12,col12,clf12,unemp12,dflabf12,flabf12,prof12,manuf12,semp12,hha12,hinca12,n65pov12,nfmpov12,napov12,dapov12,family12,hu12,vac12,ohu12,own12,rent12,dmulti12,mrent12,mhmval12,multi12,h30old12,h10yrs12,a18und12,a60up12,a75up12,ag15up12,mar12,wds12,fhh12
22,071,000100,72.80999756,17.05999947,7.400000095,0,0,0,0,0,0,0,0,0,6.889999866,10.68000031,18.13999939,11.27000046,34.45999908,11.30000019,-999,-999,-999,-999,5.599999905,0,0,0.330000013,4.059999943,11.21000004,10.65999985,2.720000029,5.980000019,2.470000029,2.549999952,0,0,0.589999974,0,0,11.77999973,1.559999943,27.38999939,48.15999985,5.849999905,72.80000305,60.02999878,4.010000229,24.13999939,10.14999962,1.210000038,16.97999954,9.079999924,-999,5.230000019,20.59000015,72.87999725,-999,23.02000046,54.93999863,36.06000137,95.81999969,13.43000031,17.94000053,4.429999828,35.22999954,20.43000031,9.460000038,78.19999695,408,0,1741,177,0,0,0,0,0,2391,1741,408,0,177,0,0,0,120,186,74,46,61,20,0,0,0,0,0,134,0,0,268,255,97,8,143,59,0,0,2241,0,14,65,61,264,35,0,1906,497,1234,56806,46435,75417,19013,44259,2039,207,1446,2391,406,408,84,0,0,1741,158,177,129,197,935,65,522,918,1522,89,967,704,868,58,349,0,-999,29,26,0,0,497,1603,369,1234,678,556,1603,841,255600,578,1536,965,321,429,106,2129,750,435,47
22,071,000200,11.01000023,79.37999725,8.220000267,0,0,0,0,0,0,0,0,0,8.960000038,8.210000038,19.64999962,10.64000034,57,0,-999,-999,-999,-999,7.309999943,0,0,0.159999996,2.140000105,2.299999952,1.970000029,0,0.49000001,0,0,0,0,0,0,0,4.570000172,1.519999981,59.75999832,11.89999962,12.47999954,56.88000107,20.59000015,12.43999958,15.38000011,6.550000191,1.230000019,19.38999939,52.99000168,-999,6.21999979,14.84000015,20,-999,34.59999847,36.09999847,35.13999939,88.47000122,28.51000023,12,4.03000021,29.53000069,20.72999954,19.11000061,76.13999939,977,0,134,100,0,0,0,0,0,1217,134,966,0,100,0,0,0,12,11,192,104,57,0,0,0,0,0,0,89,0,0,28,24,26,2,6,0,0,0,1117,0,0,0,0,51,17,0,748,225,482,28000,30764,9688,6938,15149,870,57,442,1217,236,977,145,0,0,134,71,100,20,361,85,31,447,89,505,63,480,273,91,55,68,0,-999,15,14,0,0,225,737,255,482,174,308,737,805,148300,259,652,367,347,146,49,955,282,198,43
22,071,000300,7.550000191,91.29000092,0.829999983,0,0,0,0,0,0,0,0,0,35.15999985,21.97999954,15.18000031,11.27000046,0,0,-999,-999,-999,-999,0.829999983,0,0,0,0,0.409999996,2.819999933,0.330000013,1.659999967,0.409999996,1.24000001,0,0,0,0,0,2.619999886,1.309999943,71.66999817,6.670000076,24.75,65.77999878,16.21999931,4.670000076,2.670000076,7.420000076,4.559999943,37.18000031,72.52999878,-999,23.07999992,34.36000061,0,-999,30.29999924,38.99000168,27.30999947,89.47000122,18.34000015,17.18000031,7.550000191,11.43000031,26.63999939,29.62000084,80.77999878,1100,0,91,10,0,0,0,0,0,1205,91,1100,0,10,0,0,0,32,20,167,124,0,0,0,0,0,0,0,10,0,0,5,34,0,0,20,5,0,0,1144,0,0,4,15,30,15,0,780,260,536,22619,23393,21250,-999,13280,984,73,450,1205,448,1100,378,0,0,91,66,10,0,495,32,5,559,52,598,148,526,346,73,21,12,0,-999,55,60,0,0,260,769,233,536,209,327,769,515,99600,210,688,433,221,207,91,1006,115,268,77
22,071,000400,12.31999969,82.73999786,1.179999948,0,0,0,0,0,0,0,0,0,10.28999996,17.64999962,23.05999947,11.72000027,0,19.22999954,-999,-999,-999,-999,0.629999995,0,0,0,0.680000007,1.399999976,2.99000001,0.629999995,0.230000004,0.230000004,0,0,0,0,0,0,1.860000014,0.620000005,54.59999847,15.40999985,11.31999969,61.63000107,23.44000053,13.52000046,3.480000019,4.46999979,3.299999952,22.70999908,8.819999695,-999,16.76000023,25.79000092,0,-999,26.94000053,50.81000137,19.19000053,74.66000366,26.78000069,16.67000008,7.789999962,41.90999985,24.71999931,24.76000023,58.52999878,1826,0,272,26,0,0,0,0,0,2207,272,1826,0,26,0,0,0,28,48,421,214,0,5,0,0,0,0,0,14,0,0,31,66,15,0,5,5,0,0,1937,0,0,14,0,36,12,0,1531,513,868,33066,31935,44250,130804,17632,1587,71,947,2180,495,1826,471,0,0,272,24,26,0,688,149,19,836,236,1060,120,980,604,222,128,33,0,-999,72,86,0,0,513,1188,320,868,441,427,1188,837,109400,228,887,508,591,368,172,1687,707,417,127
22,071,000601,0,100,0,0,0,0,0,0,0,0,0,0,-999,-999,32.52000046,13.69999981,-999,-999,-999,-999,-999,-999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.61000061,14.25,22.12999916,54.24000168,8.119999886,0,0,0.790000021,4.099999905,58,-999,-999,47.18999863,58,-999,-999,21.43000031,17.47999954,51.91999817,35.43999863,35.08000183,16.52000046,7.429999828,10.43999958,34.54000092,61.79999924,79.01999664,781,0,0,0,0,0,0,0,0,781,0,781,0,0,0,0,0,0,0,254,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,647,0,0,0,0,0,0,0,386,178,286,19457,19457,-999,-999,8856,507,4,197,781,453,781,453,0,0,0,0,0,0,286,0,0,315,55,253,56,295,160,16,0,0,0,-999,32,84,0,0,178,364,78,286,50,236,364,307,112500,189,129,226,274,129,58,527,55,182,110
22,071,000602,5.559999943,94.05999756,0.159999996,0,0.219999999,0,0,0,0.219999999,0,0,0,5.710000038,44.56999969,29.59000015,9.699999809,0,0,0,0,0,0,0,0,0,0,0.479999989,0.409999996,0.189999998,0,0.479999989,0.25,0.219999999,0,0,0,0,0,2.869999886,0,53.77000046,10.05000019,15.30000019,56.93999863,21.35000038,3.779999971,5.409999847,9.069999695,1.399999976,40.04000092,23.43000031,0,30.95999908,41.18000031,0,0,18.25,60.95999908,20.29000092,88.19999695,35.90999985,14.86999989,6.389999866,24.89999962,26.01000023,44.79999924,47.86999893,2960,5,175,5,0,7,0,0,0,3147,175,2960,0,5,7,0,0,10,78,876,287,0,0,0,0,7,0,0,0,0,0,13,6,15,0,15,8,0,0,2858,0,0,0,7,82,0,0,1711,759,963,27083,27292,20625,-999,11562,1995,181,979,3147,1260,2960,1219,5,0,175,41,5,0,876,82,5,920,172,1144,175,1224,697,209,37,53,0,-999,44,235,0,7,759,1178,215,963,587,376,1178,640,98700,239,1039,461,1130,468,201,2261,563,588,340
22,071,000603,1.039999962,57.54999924,36.97999954,0,4.429999828,0,0,0,0,0,0,4.429999828,0,100,18.64999962,9.390000343,0,6.550000191,-999,-999,20.30999947,45.31000137,7.199999809,0.550000012,0,0,0,0,0,0,33.86000061,6.579999924,23.40999985,0,0,0,0,0,42.77999878,23.88999939,75.23000336,2.880000114,19.38999939,60.29999924,1.669999957,0.910000026,0,0,3.049999952,22.29999924,0,-999,10.60999966,27.20000076,17.97999954,0,46.70999908,28.60000038,56.13999939,69.84999847,16,15.23999977,2.630000114,22.72999954,16.93000031,28.64999962,69.13999939,831,0,15,534,0,0,0,0,64,1444,15,831,0,534,64,0,0,0,15,155,78,0,35,0,0,64,13,29,104,0,8,0,0,0,0,489,95,0,0,1419,0,0,0,338,607,339,0,973,377,486,31974,25000,-999,40064,12682,1213,0,657,1444,322,831,226,0,0,15,0,534,96,292,7,170,732,28,815,158,539,325,11,6,0,17,59432,44,40,0,64,377,912,426,486,139,347,912,876,82300,512,637,336,231,220,38,1276,290,216,108
22,071,000604,9.289999962,84.29000092,4.230000019,0,0.959999979,0,0,0,0.959999979,0,0,0,8.069999695,35.20000076,26.68000031,2.640000105,8.869999886,13.78999996,-999,-999,0,73.91000366,1.5,0.400000006,0,0,1.210000038,1.269999981,1,0,3.019999981,1.730000019,1.039999962,0,0,0,0,0,7.309999943,2.230000019,54.63999939,13.26000023,11.96000004,61.59999847,25.45999908,5.480000019,4.909999847,7.579999924,0.920000017,21.79000092,2.24000001,-999,12.55000019,24.02000046,8.369999886,0,20.97999954,45.68000031,41.83000183,56.90000153,30.54000092,10.82999992,2.75,28.85000038,19.39999962,29.20000076,69.47000122,4097,0,446,203,0,46,0,0,0,4801,446,4047,0,203,46,0,0,36,157,1093,108,18,28,0,0,46,0,34,72,0,19,61,48,58,0,145,83,0,0,4351,0,0,0,50,318,97,0,2714,1219,1736,39811,41629,37024,28250,16672,3313,251,2097,4801,1046,4097,984,0,0,446,10,203,17,1423,234,65,1483,360,2382,285,1867,1150,534,115,103,18,-999,44,153,0,46,1219,2197,461,1736,793,943,2197,782,137800,919,1250,1206,1466,520,132,3629,1047,704,356
22,071,000605,36.04000092,60.61999893,1.840000033,0,0.129999995,0,0,0,0.129999995,0,0,0,26.32999992,9.489999771,11.35000038,8.890000343,0,9.300000191,-999,-999,0,0,1.669999957,0,0,0,2.00999999,4.28000021,5.090000153,0,0.469999999,0.469999999,0,0,0,0,0,0,2.210000038,0,51.16999817,12.17000008,20.38999939,68.79000092,25.79999924,2.680000067,3.430000067,8.109999657,0.709999979,27.06999969,31.37000084,-999,18.70000076,25.5,0,-999,15.69999981,56.36999893,23.70999908,89.66999817,19.92000008,15.22000027,4.789999962,26.84000015,20.29999924,28.04999924,57.33000183,1418,0,843,43,0,3,0,0,0,2339,843,1418,0,43,3,0,0,222,80,161,126,0,4,0,0,3,0,0,39,0,0,100,119,47,0,11,11,0,0,2123,0,0,0,0,47,0,0,1372,524,832,37569,36250,36250,44135,19554,1615,131,934,2113,572,1408,359,0,0,679,213,26,0,543,272,17,702,167,1167,238,1067,734,241,25,32,0,-999,15,98,0,0,524,987,155,832,469,363,987,694,103000,234,885,477,466,356,112,1956,525,397,147
22,071,000606,37.04999924,49.43000031,7.019999981,0.50999999,4.25,0,0,0,0,0,0,3.029999971,13.89999962,27.37000084,20.05999947,7.090000153,20.71999931,1.970000029,0,0,21.20000076,4.889999866,1.269999981,2.470000029,0,0,4.480000019,6.099999905,5.679999828,0,5.21999979,3.049999952,2.220000029,0,0,0,0,0,11.06999969,1.070000052,41.43000031,30.95000076,8.550000191,63.45999908,40.13999939,4.789999962,9.359999657,8.979999542,0.810000002,19.23999977,11.23999977,0,12.35000038,29.12000084,0,0,9.109999657,86.76000214,1.330000043,81.55999756,21.47999954,19.87000084,7.900000095,47.79999924,18.23999977,14.61999989,57.77999878,2159,22,1604,304,0,0,0,0,131,4329,1604,2140,22,304,184,0,0,223,439,433,153,63,6,0,0,184,39,9,55,0,107,264,246,194,0,226,132,0,0,4119,0,0,0,96,456,44,0,3015,1101,1646,56054,50052,64605,56384,27531,3329,299,1901,4173,803,2102,612,22,0,1522,171,292,0,740,768,95,1249,933,2070,177,1776,1127,763,91,178,35,57875,34,136,0,184,1101,1811,165,1646,1428,218,1811,1190,161000,24,1477,951,930,860,342,3515,1680,641,161
