"","V1","tract_id","population_00","population_10","med_income_00","med_income_10","med_home_value_00","med_home_value_10","pct_college_00","pct_college_10","pct_white_00","pct_white_10","population_change","med_income_change","med_home_value_change","pct_college_change","pct_white_change","population_00_pctile","population_10_pctile","population_change_pctile","med_income_00_pctile","med_income_10_pctile","med_income_change_pctile","med_home_value_00_pctile","med_home_value_10_pctile","med_home_value_change_pctile","pct_college_00_pctile","pct_college_10_pctile","pct_college_change_pctile","pct_white_00_pctile","pct_white_10_pctile","pct_white_change_pctile","gent_eligible","gentrified","gent_status"
"1","1",22071000100,2381,2391,38750,56806,139300,255600,22.71,48.15999985,67.41,72.80999756,10,18056,79246.2,25.44999985,5.39999756,46,74,88,79,81,76,75,73,65,68,73,85,82,84,76,FALSE,FALSE,"ineligible"
"2","2",22071000200,1347,1217,18646,28000,63500,148300,7.79,11.89999962,13.66,11.01000023,-130,9354,67909,4.10999962,-2.64999977,2,20,78,24,37,51,24,36,56,34,25,24,43,44,37,TRUE,FALSE,"eligible"
"3","3",22071000300,1468,1205,13164,22619,49700,99600,5.82,6.670000076,5.31,7.550000191,-263,9455,36679.8,0.850000076,2.240000191,5,19,68,9,22,52,4,12,26,25,10,13,31,36,65,TRUE,FALSE,"eligible"
"4","4",22071000400,2564,2207,22028,33066,74200,109400,6.16,15.40999985,11.08,12.31999969,-357,11038,15462.8,9.24999985,1.23999969,54,69,62,41,51,56,43,15,8,28,35,48,41,46,62,FALSE,FALSE,"ineligible"
"5","5",22071000601,2034,781,5818,19457,51100,112500,1.54,14.25,0.49,0,-1253,13639,47807.4,12.71,-0.49,34,7,23,1,12,67,5,18,41,3,34,55,5,0,46,TRUE,FALSE,"eligible"
"6","6",22071000602,2957,3147,23955,27083,61900,98700,5.93,10.05000019,14.31,5.559999943,190,3128,20334.6,4.12000019,-8.750000057,66,85,95,46,35,31,21,10,14,26,19,25,45,30,18,FALSE,FALSE,"ineligible"
"7","7",22071000603,2326.099118,1444,17175.99932,31974,36899.9999,82300,2.81,2.880000114,1.71,1.039999962,-882.099118,14798.00068,35584.6001266,0.0700001139999999,-0.670000038,45,34,40,20,48,70,1,2,24,9,5,8,14,8,45,TRUE,FALSE,"eligible"
"8","8",22071000604,5146.900834,4801,27430.46888,39811,64362.83977,137800,6.75,13.26000023,17.01,9.289999962,-345.900834,12380.53112,56316.64485118,6.51000023,-7.720000038,94,99,63,55,62,59,28,31,48,31,30,36,51,41,20,FALSE,FALSE,"ineligible"
"9","9",22071000605,2902,2339,29760,37569,56500,103000,10.41,12.17000008,30.19,36.04000092,-563,7809,31471,1.76000008,5.85000092,64,72,51,60,56,46,16,13,22,44,26,15,61,64,78,FALSE,FALSE,"ineligible"
"10","10",22071000606,4400,4329,56760,56054,108500,161000,25.45,30.95000076,60.57,37.04999924,-71,-706,23639,5.50000076,-23.52000076,88,97,84,95,81,17,68,46,16,72,60,32,79,64,2,FALSE,FALSE,"ineligible"
"11","11",22071000607,3746,3679,58801,58783,119200,176800,27.76,48,76.7,53.54999924,-67,-18,25892.8,20.24,-23.15000076,83,92,85,95,83,21,71,58,18,75,72,73,86,74,2,FALSE,FALSE,"ineligible"
"12","12",22071000611,4525,4038,25714,37375,62400,109100,4.46,8.920000076,1.72,0.319999993,-487,11661,30101.6,4.460000076,-1.400000007,90,95,54,51,56,58,24,14,21,18,15,27,15,5,42,FALSE,FALSE,"ineligible"
"13","13",22071000612,1147,1713,146158,138036,434300,495500,39.66,58.18000031,76.55,55.04999924,566,-8122,-54323.8,18.52000031,-21.50000076,0,51,98,100,100,4,99,98,2,90,84,68,86,75,4,FALSE,FALSE,"ineligible"
"14","14",22071000613,4630,4511,16788,17405,70700,167800,8.08,13.60000038,21.12,12.36999989,-119,617,78293.8,5.52000038,-8.75000011,91,98,81,18,8,22,38,52,65,36,31,33,55,47,17,TRUE,FALSE,"eligible"
"15","15",22071000615,2961.000024,3350,39669.99876,30804,106899.9976,152500,22.28,26.07999992,51.48,27.52000046,388.999976,-8865.99876,17164.6030384,3.79999992,-23.95999954,67,88,98,82,45,2,66,39,11,67,54,23,75,59,1,FALSE,FALSE,"ineligible"
"16","16",22071000616,4700.000205,4474,39670,52632,106899.9999,187900,22.28,37.27999878,51.48,32.15999985,-226.000205,12962,52564.6001266,14.99999878,-19.32000015,91,98,71,82,78,62,67,59,44,67,65,59,75,62,5,FALSE,FALSE,"ineligible"
"17","17",22071000617,3883.000041,3761,51182.00037,36202,161399.9999,129000,28.06,24.32999992,44.81,13.82999992,-122.000041,-14980.00037,-75332.3998734,-3.73000008,-30.98000008,85,92,79,93,55,0,83,25,1,76,51,2,69,48,0,FALSE,FALSE,"ineligible"
"18","18",22071000618,3663.999959,3818,51181.9996,104519,161400.0001,229900,28.06,49.77000046,44.81,40.47000122,154.000041,53337.0004,25567.5998734,21.71000046,-4.33999878,81,93,94,92,97,99,84,67,17,76,75,77,69,67,30,FALSE,FALSE,"ineligible"
"19","19",22071000701,3278,332,22399,22446,51900,95000,4.24,2.119999886,0.7,4.519999981,-2946,47,29294.6,-2.120000114,3.819999981,76,1,3,44,21,21,8,7,20,15,2,3,6,26,72,FALSE,FALSE,"ineligible"
